scenario,R,recall,precision,type_acc_given_match,param_MAE_naive,param_MAE_cleaned,param_MAE_oracle
spread3,1000,0.9149999999999988,0.9925166666666666,0.8240437158469945,0.05827297151691168,0.05621525834864768,0.05496089347280519
cluster2,1000,0.9265,0.9861666666666662,0.8370210469508904,0.058305437786094184,0.05573736947072829,0.054884652939478695
mixmag,1000,0.778,0.9929999999999999,0.8367609254498715,0.05699745402467498,0.05566265878433938,0.055012825665943954
