week,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2013-W14,4,1,0,6,0,2,1,2,3,2,27,27,119,67,2,1,0,0,0,1,0,3,8,4,3,6,93,42,0,0,0,2,0,4,0,0,0,1,0,2,1,0,4,0,2,19,1
2013-W15,4,0,0,1,0,1,2,6,2,2,26,23,138,50,3,1,1,1,2,3,1,12,8,3,2,11,108,36,0,2,0,1,0,6,0,1,1,3,0,9,0,0,6,1,0,18,0
2013-W16,1,0,0,7,0,0,0,4,1,2,18,40,125,71,2,3,1,0,1,4,1,2,8,3,5,3,127,59,0,5,0,4,0,2,1,1,2,2,0,9,1,0,4,0,1,14,0
2013-W17,1,1,0,6,0,1,2,5,0,2,19,29,124,61,3,0,4,0,0,4,0,2,10,3,2,9,135,43,0,10,0,0,3,4,0,3,0,0,0,15,1,0,3,1,1,19,0
2013-W18,3,0,0,6,0,0,1,2,0,0,14,11,65,56,1,2,1,0,1,1,0,1,4,2,4,3,101,39,2,11,0,3,2,2,2,0,0,1,0,11,0,2,0,2,2,8,0
2013-W19,3,0,0,5,0,1,4,6,0,0,28,25,113,75,1,0,3,0,1,2,0,4,4,3,8,15,186,41,0,13,0,2,5,3,1,0,3,0,1,14,1,0,2,0,1,13,0
2013-W20,1,0,0,5,1,1,1,2,3,3,16,33,114,51,2,0,1,4,1,5,1,7,16,5,8,18,132,70,5,13,0,1,4,7,4,1,2,0,0,12,3,1,4,0,2,11,0
2013-W21,0,1,2,2,0,3,3,7,3,4,19,24,112,61,0,0,0,1,1,2,1,7,9,5,6,15,204,85,9,33,0,6,4,1,0,3,0,3,1,15,0,0,2,1,2,14,2
2013-W22,1,2,0,5,0,1,3,6,3,3,24,26,111,66,4,0,1,0,2,2,1,6,9,4,9,21,208,64,12,28,0,3,4,4,0,2,2,0,2,20,1,1,1,2,1,15,2
2013-W23,1,0,0,8,0,0,0,3,1,2,17,20,82,59,1,0,1,4,2,2,3,5,11,1,6,15,129,52,9,16,0,8,3,4,1,5,1,1,0,7,0,0,1,2,0,34,0
2013-W24,2,0,0,7,0,1,1,4,3,1,17,21,98,62,2,2,0,1,1,0,1,4,13,4,2,17,126,47,11,12,0,4,6,5,4,2,1,1,0,20,3,1,2,1,0,39,1
2013-W25,1,0,0,7,0,0,1,3,2,6,22,22,88,55,3,1,3,0,2,3,0,6,20,7,12,11,120,37,6,10,0,3,3,6,0,0,1,1,0,19,2,1,1,1,0,18,0
2013-W26,2,0,0,4,0,0,3,3,4,2,13,12,68,24,1,0,0,1,0,0,0,4,14,5,7,21,90,24,4,10,0,1,2,4,2,0,2,0,0,16,3,1,0,0,0,10,2
2013-W27,1,1,0,3,0,0,0,4,0,2,15,20,69,38,0,1,0,0,3,2,1,7,14,7,4,15,77,25,4,9,0,2,3,0,3,1,1,1,0,10,9,0,0,1,1,9,0
2013-W28,1,0,0,5,0,0,1,2,1,3,8,11,62,23,0,0,0,1,0,2,1,1,9,3,6,15,52,34,5,8,0,1,0,3,3,0,0,1,0,12,6,0,1,1,0,8,0
2013-W29,0,0,0,1,0,1,1,1,0,0,3,13,37,22,0,0,0,0,0,2,0,0,6,1,2,5,42,20,2,4,0,1,0,1,2,0,0,0,0,6,4,1,0,0,0,4,2
2013-W30,0,0,0,2,0,0,1,3,0,0,8,6,36,12,1,0,0,1,0,4,0,0,2,1,3,8,32,20,0,2,0,0,0,0,1,0,0,0,0,7,1,1,0,0,0,2,0
